Index,Link,Img,Name,Type,Region,Country,Body,Tannic,Sweet,Acidic,Rating,Flavor,Comment
1,https://www.vivino.com/US-CA/en/hundred-acre-wraith-cabernet-sauvignon-napa-valley/w/5978015?year=2016&price_id=26291435,//images.vivino.com/thumbs/PBhGMcRNQ7aVnVNr7VgnWA_pb_x600.png,Wraith Cabernet Sauvignon 2016,Red,Napa Valley,US,4.9,3.7,2.7,3.4,4.9,"Oaky, Black Fruit, Earthy",이 와인은 전체적으로 균형이 잘 잡혀있고 알콜 도수가 높은 훌륭한 와인이다. 가벼운 바디감에 미디움한 산미와 탄닌의 조화가 아름답다. 
2,https://www.vivino.com/US-CA/en/hundred-acre-ark-vineyard-cabernet-sauvignon/w/1637962?year=2017&price_id=25805901,//images.vivino.com/thumbs/TQLu4uY6RuC0bW8QHDeIPw_pb_x600.png,Ark Vineyard Cabernet Sauvignon 2017,Red,Howell Mountain,US,4.7,4.5,2.5,3.4,4.9,"Oaky, Black Fruit, Earthy","바이올렛과 로즈, 스파이스한 아로마가 조화롭다. 전형적인 카르베네 쇼비뇽의 블랙베리와, 마라스키노 체리 그리고 블랙 커런트 등의 풍미가 적절하고 유니크한 빈티지이다. "
3,https://www.vivino.com/US-CA/en/hundred-acre-kayli-morgan-vineyard-cabernet-sauvignon/w/84351,//images.vivino.com/thumbs/ZOn7KuOhTCap7hb74ucQVA_pb_x600.png,Kayli Morgan Vineyard Cabernet Sauvignon,Red,Napa Valley,US,4.5,3.8,2.0,3.0,4.9,"Oaky, Black Fruit, Earthy",균형이 매우 잘 잡혀있는 환상적인 풀바디 와인이다. 선명한 검은 과실의 풍미가 잘 드러난다. 
4,https://www.vivino.com/US-CA/en/schrader-cellars-cabernet-sauvignon-old-sparky-beckstoffer-to-kalon/w/1144145?year=2015&price_id=24260145,//images.vivino.com/thumbs/nPPvCaprSvqHtXOGVakjVQ_pb_x600.png,Cabernet Sauvignon Old Sparky Beckstoffer To Kalon 2015,Red,Napa Valley,US,5.0,3.8,1.9,3.0,4.9,"Oaky, Black Fruit, Earthy",프루티하면서 볼드한 와인이다. 어린 와인 치고 굉장히 부드러운 탄닌을 보여준다. 강한 소나무의 우드향이 나며
5,https://www.vivino.com/US-CA/en/vega-sicilia-unico/w/77137?year=2009&price_id=23557244,//images.vivino.com/thumbs/SCnpJk_ySUe6XS3U-lFOwQ_pb_x600.png,Unico 2009,Red,Ribera del Duero,Spain,4.5,3.0,1.9,4.2,4.8,"Oaky, Earthy, Black Fruit","스페인 3대 와인으로 진한 허브와 민트의 향이 처음 느껴진다. 검은 과일과 카시스, 블랙 커런트와 가죽과 오크향의 아로마가 부드러우면서도 강력하다. "
6,https://www.vivino.com/US-CA/en/vega-sicilia-unico/w/77137?year=2010&price_id=27170525,//images.vivino.com/thumbs/SCnpJk_ySUe6XS3U-lFOwQ_pb_x600.png,Unico 2010,Red,Ribera del Duero,Spain,5.0,3.4,3.0,4.0,4.8,"Oaky, Earthy, Black Fruit","스페인 3대 와인으로 진한 허브와 민트의 향이 처음 느껴진다. 검은 과일과 카시스, 블랙 커런트와 가죽과 오크향의 아로마가 부드러우면서도 강력하다. "
7,https://www.vivino.com/US-CA/en/chateau-lafite-rothschild-pauillac-premier-grand-cru-classe-pauillac/w/3908?year=2003&price_id=13750467,//images.vivino.com/thumbs/uDMfPG10R1efm5H1do--Ow_pb_x600.png,Pauillac (Premier Grand Cru Classé) 2003,Red,Pauillac,France,4.5,4.0,1.0,3.4,4.8,"Oaky, Earthy, Black Fruit","잘 익은 검은 과실, 블랙 체리 등의 향이 카시스, 초콜렛, 바닐라, 바이올렛 등과 조화를 잘 이룬다. 매우 부드럽고 풍성한 구조감을 가진 와인이다. "
8,https://www.vivino.com/US-CA/en/hundred-acre-kayli-morgan-vineyard-cabernet-sauvignon/w/84351?year=2014&price_id=23465488,//images.vivino.com/thumbs/ZOn7KuOhTCap7hb74ucQVA_pb_x600.png,Kayli Morgan Vineyard Cabernet Sauvignon 2014,Red,Napa Valley,US,5.0,3.0,1.6,3.0,4.8,"Oaky, Black Fruit, Earthy",균형이 너무 잘 잡힌 풀바디 와인으로 꽃향과 프루티한 향이 강하며 부드러운 탄닌과 산미로 끝나는 긴 마무리를 즐길 수 있다.
9,https://www.vivino.com/US-CA/en/joseph-phelps-backus-vineyard-cabernet-sauvignon/w/16579?year=2016&price_id=23307062,//images.vivino.com/thumbs/P-vNjR3JTdSDginmrnDX_Q_pb_x600.png,Backus Vineyard Cabernet Sauvignon 2016,Red,Oakville,US,5.0,4.0,1.6,3.0,4.8,"Oaky, Black Fruit, Earthy","매우 볼드하며 균형감이 훌륭하다. 블랙 커런트, 흑연, 초콜릿, 토양의 금속, 미네랄 등이 강렬하게 다가오며 긴 여운을 즐길 수 있는 와인이다."
10,https://www.vivino.com/US-CA/en/vina-cobos-cobos-volturno/w/1505859?year=2017&price_id=25058312,//images.vivino.com/thumbs/D1Mf1fYnRnageFjtfLXdFg_pb_x600.png,Cobos Volturno 2017,Red,Perdriel,Argentina,4.2,3.4,2.0,2.8,4.8,"Oaky, Black Fruit, Earthy","아르헨티나 최고 와인중 하나로 초콜릿, 커피, 코코넛, 오크 숙성, 바닐라의 향미와 부드럽고 풍부하면서도 잘 익은 검은 과일향이 진하게 다가온다. 부드러운 탄닌에 크리스피한 산미가 돋보이는 매력적인 와인이다."
